,Both sexes,Female,Male,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,NY.GDP.PCAP.PP.KD
Curacao,,,,,,,,,,,,,,,,,24494.3426149147
Cyprus,3.2,1.1,5.3,182.9,200.1,238.7,267.0,331.7,369.0,387.5,365.8,312.0,275.9,213.0,170.5,3314.1,40226.8094909879
Czech Republic,,,,,,,,,,,,,,,,,40696.3104860197
Democratic Republic of the Congo,12.4,5.0,20.7,126.5,130.0,164.5,192.0,223.0,207.5,219.5,236.5,207.0,218.5,172.0,128.0,2225.0,
Denmark,7.6,4.2,11.1,51.0,77.0,150.66666666666666,228.66666666666666,280.6666666666667,275.3333333333333,256.6666666666667,231.33333333333334,176.0,104.0,57.666666666666664,43.666666666666664,1932.0,57678.0988930692
Djibouti,11.9,7.6,16.3,254.0,249.0,279.0,279.0,310.0,237.0,236.0,276.0,282.0,310.0,291.0,276.0,3279.0,5534.76617152744
Dominica,,,,,,,,,,,,,,,,,11905.8705154398
Dominican Republic,,,,,,,,,,,,,,,,,18412.8999875519
Early-demographic dividend,,,,,,,,,,,,,,,,,9534.21063505113
East Asia & Pacific,,,,,,,,,,,,,,,,,17705.0467733146
East Asia & Pacific (IDA & IBRD countries),,,,,,,,,,,,,,,,,14566.8447846089
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,14415.5191629424
Ecuador,7.7,3.6,11.9,149.65,120.85,130.75,143.0,165.7,156.0,188.05,194.65,170.0,156.7,158.5,175.7,1909.55,11370.603299072
Egypt,3.4,2.2,4.7,257.12,260.28000000000003,291.7,310.91999999999996,343.1,364.8,376.74,358.98,323.71999999999997,303.04,271.18,247.11999999999998,3710.6800000000003,
"Egypt, Arab Rep.",,,,,,,,,,,,,,,,,11763.2532849551
El Salvador,6.1,2.1,11.1,301.0,277.0,294.0,243.0,220.0,174.0,239.0,257.0,180.0,211.0,267.0,294.0,2957.0,8796.06206368967
Equatorial Guinea,13.5,8.8,18.5,175.15,172.3,141.05,148.5,153.45,108.0,94.55,100.75,81.0,91.45,120.0,162.75,1548.95,18502.563964039
Eritrea,17.3,8.3,27.2,304.7,289.1,300.7,300.5,298.5,271.5,217.9,220.1,260.4,301.0,292.5,299.1,3361.0,
Estonia,12.0,4.5,20.2,33.5,64.0,149.0,221.5,311.0,304.0,321.0,263.5,169.0,94.0,33.5,22.0,1994.5,36830.0747898819
Eswatini,,,,,,,,,,,,,,,,,8621.8040669514
Ethiopia,9.5,5.2,14.2,281.95,261.6,263.95,245.1,260.1,193.05,138.55,149.9,193.35,278.85,279.9,285.05,2784.8500000000004,2221.40466452958
Euro area,,,,,,,,,,,,,,,,,46913.5500223662
Europe & Central Asia,,,,,,,,,,,,,,,,,35200.2113313619
Europe & Central Asia (IDA & IBRD countries),,,,,,,,,,,,,,,,,23053.853521362
Europe & Central Asia (excluding high income),,,,,,,,,,,,,,,,,22085.8637134684
European Union,,,,,,,,,,,,,,,,,44275.5716411923
Fiji,9.5,6.0,13.1,192.2,178.0,170.5,153.0,145.7,141.0,136.4,142.6,135.0,164.3,168.0,195.3,1922.0,13684.3608160228
Finland,13.4,6.8,20.1,38.0,70.0,138.0,194.0,284.0,297.0,291.0,238.0,150.0,93.0,36.0,29.0,1858.0,48689.2341509211
France,9.7,4.5,15.2,95.66666666666667,112.0,171.33333333333334,200.66666666666666,236.0,260.6666666666667,287.0,264.0,205.66666666666666,151.0,100.0,82.66666666666667,2166.6666666666665,45834.1669122703
Gabon,13.1,3.8,23.3,162.8,168.8,165.7,164.15,153.65,143.45,141.15,112.85000000000001,110.80000000000001,114.5,124.85,157.5,1720.1999999999998,14950.0770784889
Gambia,9.6,6.2,13.3,279.0,282.0,310.0,300.0,310.0,270.0,186.0,186.0,180.0,248.0,240.0,279.0,3070.0,
"Gambia, The",,,,,,,,,,,,,,,,,2222.87959013357
Georgia,7.7,2.2,14.0,99.0,102.0,142.0,171.0,213.0,249.0,256.0,248.0,206.0,164.0,103.0,93.0,2046.0,14989.2581602038
Germany,8.3,3.9,12.8,48.5,77.0,121.0,168.5,215.5,220.5,225.0,215.0,156.0,107.5,51.0,39.0,1644.0,53639.26072156
Ghana,10.5,1.8,20.0,223.0666666666667,216.29999999999998,224.0,214.33333333333334,223.23333333333335,169.43333333333334,142.56666666666666,123.66666666666667,149.06666666666666,213.1,238.9333333333333,229.83333333333334,2367.5,5396.86608780051
Greece,3.6,1.5,5.9,130.0,134.0,183.0,231.0,291.0,336.0,363.0,341.0,276.0,208.0,153.0,127.0,2773.0,29723.2219580446
Grenada,,,,,,,,,,,,,,,,,17050.2930413479
Guatemala,,,,,,,,,,,,,,,,,8653.30819508205
Guinea,12.3,8.0,18.4,242.5,230.0,250.0,221.0,221.0,184.5,139.0,123.0,163.0,205.0,224.0,237.0,2440.0,2567.0339869651
Guinea-Bissau,12.4,6.7,19.8,248.0,226.0,279.0,270.0,248.0,210.0,186.0,155.0,180.0,217.0,240.0,248.0,2707.0,1939.2895096348
Guyana,40.9,17.0,65.0,201.0,208.6,219.7,197.9,178.8,156.7,201.6,233.7,229.8,235.3,210.9,186.6,2460.6,13082.2026195835
Haiti,,,,,,,,,,,,,,,,,2905.43856536495
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,2576.64430999862
High income,,,,,,,,,,,,,,,,,50296.32710103
Honduras,2.6,1.0,4.4,170.5,192.1,217.0,234.0,213.9,192.0,201.5,217.0,174.0,151.9,144.0,151.9,2259.8,5736.18163330613
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,59586.2040065092
Hungary,11.8,5.5,19.1,62.0,93.0,137.0,177.0,234.0,250.0,271.0,255.0,187.0,141.0,69.0,52.0,1988.0,32553.5236997988
IBRD only,,,,,,,,,,,,,,,,,13486.6663566891
IDA & IBRD total,,,,,,,,,,,,,,,,,10996.8118303763
IDA blend,,,,,,,,,,,,,,,,,4872.31174319057
IDA only,,,,,,,,,,,,,,,,,3410.67262259527
IDA total,,,,,,,,,,,,,,,,,3892.23165192002
Iceland,11.2,3.5,18.7,20.0,60.0,109.0,164.0,201.0,174.0,168.0,155.0,120.0,93.0,41.0,22.0,1326.0,56913.9568467085
India,12.9,11.1,14.7,236.5,232.6,260.32,266.21999999999997,265.62,167.84,117.4,132.18,167.85999999999999,224.48000000000002,226.95999999999998,219.04000000000002,2517.02,6713.93221110733
Indonesia,2.6,1.2,4.0,161.7,165.95,197.125,212.725,221.52499999999998,220.5,238.20000000000002,249.525,243.775,238.2,210.04999999999998,162.375,2521.65,11811.9755589147
Iran,5.1,2.8,7.5,167.35999999999999,174.02,200.72,221.44,288.58000000000004,330.76,333.64,327.1,297.76,257.56,203.06,171.78,2821.7,
"Iran, Islamic Rep.",,,,,,,,,,,,,,,,,12389.2233504388
Iraq,4.7,2.4,7.3,192.2,203.3,244.9,255.0,300.7,348.0,347.2,353.4,315.0,272.8,213.0,195.3,3240.8,10565.2474296597
Ireland,8.9,3.6,14.3,59.0,75.0,109.0,160.0,195.0,179.0,164.0,157.0,129.0,103.0,71.0,53.0,1453.0,87786.1569266174
Israel,5.2,2.1,8.3,192.2,200.1,235.6,270.0,328.6,357.0,368.9,356.5,300.0,279.0,234.0,189.1,3311.0,40007.3191584114
Italy,4.3,2.1,6.7,111.25,130.0,171.5,196.25,247.5,279.5,318.0,291.25,225.0,180.75,117.75,100.75,2372.25,42662.5223699096
Jamaica,,,,,,,,,,,,,,,,,9777.00568620683
Japan,12.2,6.9,17.5,131.74,135.14000000000001,163.42000000000002,184.8,190.24,149.9,147.2,181.26,139.54000000000002,150.26,130.85999999999999,129.44,1837.1200000000001,41380.0935773113
Jordan,,,,,,,,,,,,,,,,,10071.379888314
Kazakhstan,18.1,6.9,30.9,110.5,133.0,169.5,216.0,271.0,308.0,321.0,294.0,237.5,160.0,113.5,97.5,2431.5,26351.8044418782
Kenya,11.0,5.3,18.1,282.025,259.575,270.45,245.25,245.7,229.5,218.55,234.825,254.25,273.525,249.0,267.375,3030.025,4329.87188383259
Kiribati,,,,,,,,,,,,,,,,,2270.10860723388
"Korea, Rep.",,,,,,,,,,,,,,,,,42719.0002563009
Kosovo,,,,,,,,,,,,,,,,,11485.9240071233
Kuwait,,,,,,,,,,,,,,,,,49853.7362805684
Kyrgyz Republic,,,,,,,,,,,,,,,,,5258.36669601039
Lao PDR,,,,,,,,,,,,,,,,,7886.65281419668
Late-demographic dividend,,,,,,,,,,,,,,,,,17431.2669768095
Latin America & Caribbean,,,,,,,,,,,,,,,,,16410.1839759543
Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,15469.4522184808
Latin America & the Caribbean (IDA & IBRD countries),,,,,,,,,,,,,,,,,16353.6396715869
Latvia,16.1,4.6,29.0,31.0,62.0,127.0,183.0,264.0,288.0,264.0,229.0,153.0,93.0,39.0,22.0,1754.0,30858.750074744
Least developed countries: UN classification,,,,,,,,,,,,,,,,,3079.48049401867
Lebanon,,,,,,,,,,,,,,,,,14551.5937122886
Lesotho,,,,,,,,,,,,,,,,,2583.92437114575
Liberia,,,,,,,,,,,,,,,,,1427.8190899409
Libya,4.5,2.9,6.1,192.9,203.0,234.75,251.0,317.15,319.5,378.65,358.9,279.5,247.55,212.5,182.7,3178.1,15174.1625153905
Lithuania,20.2,6.2,36.1,32.0,57.0,121.0,179.0,252.0,246.0,260.0,237.0,154.0,95.0,35.0,23.0,1691.0,37062.5867515036
Low & middle income,,,,,,,,,,,,,,,,,10643.2091781594
Lower middle income,,,,,,,,,,,,,,,,,7106.96748496422
Luxembourg,8.6,5.4,11.8,43.0,82.0,118.0,165.0,208.0,210.0,232.5,208.0,159.0,108.5,57.0,43.0,1634.0,113940.23744151
"Macao SAR, China",,,,,,,,,,,,,,,,,127161.499444924
Madagascar,9.2,5.4,13.3,221.58333333333334,197.85,220.20000000000002,238.41666666666666,248.76666666666665,225.15,232.63333333333335,249.23333333333335,264.5,277.43333333333334,259.90000000000003,228.76666666666665,2864.433333333333,1618.53231427249
Malawi,10.6,3.3,20.0,173.6,164.96666666666667,196.33333333333334,210.0,243.86666666666665,240.0,252.0,281.06666666666666,288.0,298.6333333333333,251.0,196.33333333333334,2795.866666666667,1514.66267654193
Malaysia,,,,,,,,,,,,,,,,,28364.4763211606
Maldives,,,,,,,,,,,,,,,,,19531.0425624222
Mali,8.0,5.7,10.5,277.76666666666665,259.53333333333336,276.6666666666667,249.33333333333334,263.96666666666664,244.76666666666665,239.73333333333335,232.20000000000002,237.53333333333333,269.90000000000003,277.23333333333335,271.5333333333333,3099.866666666667,2321.91717305646
Malta,5.3,2.3,8.4,169.0,178.0,227.0,254.0,310.0,337.0,377.0,352.0,270.0,224.0,195.0,161.0,3054.0,43950.5880527847
Marshall Islands,,,,,,,,,,,,,,,,,4029.08632919678
Mauritania,5.5,3.9,7.4,269.0,249.0,301.0,303.0,317.5,293.5,273.0,273.0,263.5,261.5,262.5,265.5,3332.5,5197.0722508281
Mauritius,,,,,,,,,,,,,,,,,22870.2862495308
Mexico,5.3,2.2,8.7,187.5,201.75,246.5,233.0,256.75,232.0,241.0,230.25,195.25,196.5,199.5,175.75,2596.25,19701.337669842
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,3466.41329281782
Middle East & North Africa,,,,,,,,,,,,,,,,,16261.5750481405
Middle East & North Africa (IDA & IBRD countries),,,,,,,,,,,,,,,,,10669.337506771
Middle East & North Africa (excluding high income),,,,,,,,,,,,,,,,,10616.3983190933
Middle income,,,,,,,,,,,,,,,,,11577.7309862624
Moldova,,,,,,,,,,,,,,,,,13022.0046061019
Mongolia,18.0,5.6,31.1,179.1,204.8,265.2,262.5,299.3,269.0,249.3,258.3,245.7,227.5,177.4,156.4,2791.5,12316.7913725436
Montenegro,16.2,7.9,25.4,123.0,126.0,170.0,194.0,251.0,276.0,340.0,314.0,252.0,201.0,126.0,109.0,2481.0,21533.949235748
Morocco,7.3,4.7,10.1,217.23333333333335,213.4333333333333,259.23333333333335,275.06666666666666,304.1333333333333,312.6666666666667,322.90000000000003,305.43333333333334,263.8,250.6,214.96666666666667,216.0,3155.4666666666667,7537.48527234118
Mozambique,23.2,8.9,42.6,248.0,226.0,248.0,240.0,248.0,240.0,248.0,248.0,248.0,217.0,210.0,217.0,2838.0,1281.50604143547
Myanmar,,,,,,,,,,,,,,,,,5082.50316102148
Namibia,13.5,4.4,24.9,320.5,277.0,297.0,289.5,307.0,298.0,315.5,332.0,320.0,331.0,322.5,316.5,3737.5,9845.21306790198
Nauru,,,,,,,,,,,,,,,,,13527.411941066
Nepal,,,,,,,,,,,,,,,,,3952.76034914913
Netherlands,9.3,6.1,12.5,63.0,88.0,126.0,183.0,222.0,206.0,217.0,197.0,139.0,109.0,62.0,51.0,1662.0,56629.110793233
New Zealand,10.3,5.4,15.4,218.275,187.1,176.85,148.15,126.875,106.4,118.725,137.825,153.8,184.0,195.275,200.675,1953.925,42877.9429107086
Nicaragua,4.7,1.9,7.8,263.5,254.2,291.4,276.0,229.4,186.0,151.9,195.3,210.0,223.2,231.0,248.0,2759.9,5451.7078347038
Niger,10.1,6.4,14.1,297.6,263.2,269.7,252.0,279.0,267.0,257.3,235.6,235.6,282.6,282.0,279.0,3203.2,1224.51026155853
Nigeria,6.9,3.8,10.1,252.26,238.7,241.11999999999998,224.6,231.94,207.0,171.04000000000002,149.5,181.8,241.88000000000002,260.4,265.24,2669.08,5135.49946875343
North America,,,,,,,,,,,,,,,,,61234.7816693192
North Macedonia,7.2,3.5,11.0,87.0,113.0,161.0,198.0,245.0,276.0,323.0,305.0,248.0,188.0,115.0,80.0,2339.0,16600.1436488516
Norway,9.9,6.3,13.4,20.666666666666668,54.666666666666664,110.66666666666667,161.66666666666666,208.0,220.0,206.0,175.66666666666666,107.33333333333333,65.0,28.0,15.666666666666666,1373.3333333333333,64452.812617024
OECD members,,,,,,,,,,,,,,,,,44553.5864153074
Oman,4.5,1.1,6.4,268.6,244.8,278.3,292.5,347.4,325.7,277.7,278.6,303.9,316.9,291.9,267.0,3493.3,27294.5729762764
Other small states,,,,,,,,,,,,,,,,,22723.8996219704
Pacific island small states,,,,,,,,,,,,,,,,,7326.50883372387
Pakistan,9.8,4.8,14.6,239.53333333333333,224.78333333333333,249.9666666666667,275.6666666666667,314.06666666666666,275.93333333333334,231.86666666666667,231.9,259.4666666666667,293.46666666666664,270.6333333333334,244.53333333333333,3108.5166666666664,4690.48477660926
Palau,,,,,,,,,,,,,,,,,17572.6226006793
Panama,2.9,1.0,4.8,228.9,245.2,183.9,173.1,108.5,116.3,106.1,118.1,99.2,103.9,139.8,120.5,1743.5,31432.1132703975
Papua New Guinea,3.6,1.9,5.2,182.0,158.0,184.0,200.0,211.0,200.0,203.0,222.0,213.0,231.0,243.0,216.0,2463.0,4349.80804806069
Paraguay,6.2,3.3,9.0,276.0,246.0,254.0,228.0,205.0,165.0,195.0,223.0,204.0,242.0,270.0,295.0,2803.0,12615.5286456565
Peru,2.7,1.4,4.1,201.14999999999998,179.15,192.05,239.0,202.35000000000002,170.8,160.0,171.15,167.15,184.55,199.0,215.29999999999998,2281.65,12853.6920747721
Philippines,2.5,1.3,3.9,176.7,197.8,225.8,258.0,222.7,162.0,132.8,132.8,132.0,157.6,153.0,151.9,2103.1,8914.72379820449
Poland,9.3,2.4,16.5,43.0,59.0,115.0,150.0,211.0,237.0,226.0,214.0,153.0,99.0,39.0,25.0,1571.0,33120.517844588
Portugal,7.2,3.5,11.6,146.33333333333334,150.33333333333334,211.33333333333334,234.0,287.6666666666667,303.0,343.0,330.3333333333333,252.66666666666666,208.0,159.0,144.66666666666666,2770.0,34879.7059746537
Post-demographic dividend,,,,,,,,,,,,,,,,,48999.1491466142
Pre-demographic dividend,,,,,,,,,,,,,,,,,3543.50029007316
Puerto Rico,,,,,,,,,,,,,,,,,34804.9347111748
Qatar,,,,,,,,,,,,,,,,,90043.7990029688
Romania,7.3,2.4,12.6,71.0,85.0,140.0,186.0,245.0,267.0,288.0,282.0,225.0,177.0,87.0,62.0,2115.0,29857.6464700842
Russian Federation,,,,,,,,,,,,,,,,,27210.5459977867
Rwanda,,,,,,,,,,,,,,,,,2227.51703252759
Samoa,,,,,,,,,,,,,,,,,6516.52067751809
San Marino,,,,,,,,,,,,,,,,,60847.1067610929
Sao Tome and Principe,,,,,,,,,,,,,,,,,4005.3416234
Saudi Arabia,5.4,1.9,7.8,239.5,246.10000000000002,257.15,262.15,288.0,302.1,282.3,273.95,272.3,301.4,271.1,240.45000000000002,3236.5,46962.147688222
Senegal,11.0,5.2,18.5,260.0,254.5,314.0,316.5,311.5,267.5,229.5,196.0,220.0,260.5,263.5,253.0,3146.0,3361.46154773707
Serbia,7.9,3.9,12.2,68.5,97.5,150.5,179.5,231.5,256.0,289.0,274.0,203.0,157.0,91.5,57.0,2055.0,18292.175030713
Seychelles,,,,,,,,,,,,,,,,,27521.1667744956
Sierra Leone,,,,,,,,,,,,,,,,,1719.78974431978
Singapore,9.7,6.4,12.7,172.4,183.2,192.7,173.6,179.8,177.7,187.9,180.6,156.2,155.2,129.6,133.5,2022.4,98411.5820616053
Slovak Republic,,,,,,,,,,,,,,,,,31871.3349174843
Slovakia,9.3,2.6,16.7,65.0,82.0,152.0,204.0,264.0,270.0,276.0,270.0,207.0,143.0,60.0,47.0,2038.0,
Slovenia,14.0,5.5,22.7,71.0,114.0,149.0,178.0,235.0,246.0,293.0,264.0,183.0,120.0,66.0,56.0,1974.0,38905.5478569196
Small states,,,,,,,,,,,,,,,,,20586.6437457621
Solomon Islands,17.4,2.4,32.2,186.0,155.4,198.4,192.0,210.8,198.0,186.0,204.6,192.0,226.3,216.0,164.3,2330.0,2660.97969650967
Somalia,14.7,7.1,22.8,279.0,267.0,287.5,254.5,280.0,239.5,221.0,245.5,263.5,248.5,253.5,263.5,3103.0,866.762289749145
South Africa,23.5,9.8,37.9,280.3666666666666,247.1,257.23333333333335,242.85,257.40000000000003,243.0666666666667,259.8,267.06666666666666,256.8333333333333,268.56666666666666,270.05,291.0833333333333,3141.316666666667,12481.8135074777
South Asia,,,,,,,,,,,,,,,,,6243.08890608237
South Asia (IDA & IBRD),,,,,,,,,,,,,,,,,6243.08890608237
South Sudan,6.7,3.4,10.4,294.5,253.75,240.25,211.5,248.0,231.0,179.8,203.05,217.5,232.5,252.0,277.45,2841.3,
Spain,5.3,2.8,7.9,168.8,177.0,217.4,239.4,277.8,304.2,335.0,310.0,244.2,208.2,169.0,147.2,2800.2,40805.9169678996
Sri Lanka,,,,,,,,,,,,,,,,,13070.1256448919
St. Kitts and Nevis,,,,,,,,,,,,,,,,,26235.5545488063
St. Lucia,,,,,,,,,,,,,,,,,15448.34490734
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,12484.72871235
Sub-Saharan Africa,,,,,,,,,,,,,,,,,3805.40710081778
Sub-Saharan Africa (IDA & IBRD countries),,,,,,,,,,,,,,,,,3805.40710081778
Sub-Saharan Africa (excluding high income),,,,,,,,,,,,,,,,,3803.32382800196
Sudan,4.8,3.3,6.3,277.5,270.5,296.0,321.0,319.0,304.5,293.0,288.5,300.0,308.5,289.5,288.5,3559.55,4185.60063543936
Suriname,,,,,,,,,,,,,,,,,19036.7450382918
Sweden,12.4,7.7,16.9,42.0,70.5,153.0,198.0,246.5,274.0,247.0,208.5,161.0,99.0,50.5,32.5,1782.5,52531.1743768398
Switzerland,9.8,5.7,14.2,48.0,77.0,125.0,159.0,186.0,204.0,230.0,208.0,151.0,93.0,50.0,35.0,1566.0,70920.3247255393
Tajikistan,,,,,,,,,,,,,,,,,3581.41140185513
Tanzania,,,,,,,,,,,,,,,,,2660.42043252302
Thailand,8.0,2.3,13.9,238.625,221.4,237.75,216.425,171.125,139.75,131.3,127.65,128.725,164.225,185.3,212.75,2175.025,18453.4698218155
Timor-Leste,,,,,,,,,,,,,,,,,3552.59699769392
Togo,14.8,6.5,24.0,251.25,234.0,248.95,221.45,234.8,182.5,154.8,139.9,156.75,239.25,259.0,257.3,2579.95,2121.89991847011
Tonga,,,,,,,,,,,,,,,,,6378.1283460138
Trinidad and Tobago,,,,,,,,,,,,,,,,,25827.8850703571
Tunisia,3.2,1.8,4.6,182.89999999999998,190.45,224.75,246.0,297.6,315.0,364.25,341.0,268.5,238.7,201.0,179.8,3049.95,10755.5726608392
Turkey,2.3,1.2,3.6,74.25,93.45,147.1,184.5,255.7,303.0,336.15,311.8,259.5,181.2,117.0,69.65,2333.8,28199.0515906708
Turkmenistan,,,,,,,,,,,,,,,,,15538.4199701316
Turks and Caicos Islands,,,,,,,,,,,,,,,,,29251.0777284406
Tuvalu,,,,,,,,,,,,,,,,,4274.76316552592
Uganda,10.4,3.7,19.4,235.5,198.5,197.0,187.5,189.5,187.5,168.5,181.5,176.0,186.5,188.0,208.0,2304.0,2187.46522731754
Ukraine,17.7,4.7,32.7,31.0,57.0,124.0,180.0,279.0,270.0,310.0,248.0,210.0,155.0,60.0,31.0,1955.0,12808.7989991273
United Arab Emirates,,,,,,,,,,,,,,,,,67119.153244137
